global_step,perplexity,eval_loss,train_loss
6,tensor(2866.0566),7.960692405700684,7.956488609313965
12,tensor(2847.7803),7.9542951583862305,7.970716953277588
18,tensor(2859.3188),7.958338737487793,7.952773094177246
